id,name,short_name,description,vendor,price,sale_price,status,updated_at,created_at
1,ut rhoncus aliquet pulvinar sed,platea dictumst etiam,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",8,117,64.9743838566,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
2,molestie nibh in lectus,ridiculus mus etiam,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",2,343,270.8056610524,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
3,dui proin leo odio porttitor id consequat in consequat,congue,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,6,476,379.9388812705,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
4,ligula pellentesque ultrices phasellus,est risus,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,3,298,214.8239953408,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
5,ultrices enim lorem ipsum,in est risus auctor,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",3,296,232.5553320705,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
6,leo pellentesque ultrices mattis odio donec vitae nisi,vel dapibus at,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",3,602,532.2391870154,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
7,lectus pellentesque eget nunc donec quis,vel,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",8,588,450.7271529204,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
8,eu massa donec dapibus duis at velit eu,erat vestibulum sed magna,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3,322,183.4970689216,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
9,a nibh in quis justo maecenas rhoncus aliquam lacus morbi,vel enim sit,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1,583,306.9428253511,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
10,ut massa volutpat convallis morbi odio odio elementum,lacinia sapien quis,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",7,303,296.1063888996,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
11,quisque arcu libero rutrum ac lobortis vel dapibus,ut nulla sed accumsan felis,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",10,785,691.5669330545,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
12,mauris vulputate elementum nullam varius nulla facilisi cras,arcu sed augue,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",3,981,684.1376847276,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
13,consectetuer eget rutrum at lorem,duis ac nibh fusce lacus,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",7,790,531.7870886749,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
14,non interdum in,risus praesent lectus,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",10,779,426.0963441755,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
15,nulla sed accumsan felis ut at dolor quis odio,justo eu,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",7,362,201.0434320287,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
16,aliquam convallis nunc proin at turpis a pede posuere,montes nascetur ridiculus mus,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",7,440,304.6315264802,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
17,aliquam sit amet diam in magna,accumsan tortor quis,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",8,987,696.2594376182,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
18,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,nulla mollis molestie lorem quisque,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",6,347,228.5784006372,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
19,vel augue vestibulum ante ipsum primis in faucibus orci,curae duis faucibus accumsan odio,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",7,719,402.3456032701,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
20,viverra pede ac diam cras,sapien a libero,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",4,735,513.3033578818,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
21,a libero nam dui proin,amet sem fusce,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",1,245,178.632385329,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
22,quis odio consequat,nulla ultrices aliquet,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",1,51,39.8907999328,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
23,purus phasellus in felis donec semper sapien a libero nam,sed sagittis nam,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",7,920,910.5900592951,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
24,odio porttitor id consequat in consequat ut nulla sed,est risus,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5,503,466.6606349721,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
25,vel est donec odio justo,nisi vulputate nonummy,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",10,570,402.8794438583,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
26,et magnis dis parturient montes nascetur ridiculus mus etiam,volutpat dui maecenas tristique,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,3,283,234.0669609271,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
